[mean success],blue_jet_speed,red_jet_speed,blue_jet_sensor_range,red_jet_sensor_range,blue_AEW&C_speed,red_AEW&C_speed,blue_AEW&C_sensor_range,red_AEW&C_sensor_range,blue_GBAD_speed,red_GBAD_speed,blue_GBAD_sensor_range,red_GBAD_sensor_range,blue_GBAD_weapon_range,red_GBAD_weapon_range,blue_AWD_speed,red_AWD_speed,blue_AWD_sensor_range,red_AWD_sensor_range,blue_AWD_weapon_range,red_AWD_weapon_range,blue_subs_speed,red_subs_speed,blue_subs_sensor_range,red_subs_sensor_range,blue_subs_weapons_range,red_subs_weapons_range,AIM120-PK,AIM120-Range,AIM9-PK,AIM9-Range,AGM88-PK,AGM88-Range,AWD-PK,GBAD-PK
0,1352.01162,2342.831251,50.85546516,42.97390496,209.3726217,672.8748689,304.5892335,450.8452834,20.00096348,3.688094429,155.6867151,99.24469598,174.6120191,209.3172411,39.18321787,51.54298346,67.26733113,74.22939313,142.3298874,215.3711392,51.0775362,38.49644786,261.8422192,151.3473137,81.25922908,182.052234,0.852352485,113.1825064,0.708641017,26.19444824,0.710306539,95.22152056,0.674764188,0.68930263
0,2660.866739,2583.66933,46.45048049,85.69341379,1286.119958,1483.454029,564.0193684,295.9884977,32.36081252,40.70066521,77.2576509,103.2391377,142.0525377,130.2895732,56.32858513,43.55198614,54.82023167,85.26705185,141.3624434,204.0685568,53.69708081,34.35700357,91.38593622,105.4988907,94.48766514,179.8980441,0.935164196,131.7299417,0.708280179,25.53577473,0.749057507,137.5980344,1,0.5
0,2496.816047,1479.384915,161.7833437,136.4375331,1256.027518,828.9090961,495.381915,404.9185076,9.469725372,24.81946267,87.50742108,175.4302137,198.6336047,181.5605289,34.69294712,33.67308384,276.4041343,90.39780129,171.5124289,149.2135096,24.36200359,32.84943464,246.3335298,75.74286275,226.5242082,213.9013793,0.98,102.7756579,0.567298342,30.48519224,0.794559123,114.4623046,0.5,0.5
0.38,2175.151928,1945.422112,79.78171283,71.58223108,449.3920427,207.4685151,250.9867236,318.9480965,47.43133895,36.05875003,137.8377296,152.2040787,163.2608337,101.6003579,53.87883366,36.05387304,166.3918904,199.5397575,221.9388214,217.1458751,41.09109604,42.70839043,111.3651284,76.76700106,120.0781316,196.2816657,0.48,89.22987126,0.741167258,26.41403674,0.866831876,138.02206,0.656231274,0.779788663
0,1785.68124,2639.826254,39.9506351,142.9889072,1226.588805,1452.277978,297.0463043,296.297058,47.40067032,6.982095315,180.6741761,87.2235211,101.662717,71.5912052,57.66538302,59.11698323,263.9590318,243.8489621,165.270302,188.9107943,26.47035377,51.2421779,217.6425047,134.3496827,260.5919574,156.9023478,0.915203147,130.2960151,0.803439035,25.05009793,0.733704244,83.27571727,0.89232091,1
0,2238.802833,1508.192817,73.03305275,99.28160517,521.8768993,1117.672063,418.3644404,315.4584277,27.41771194,7.699728565,122.5202482,107.6799291,101.4616731,217.6980528,54.27356053,40.43548248,267.4294245,223.3387431,97.093095,182.3287151,45.17653293,27.24251147,208.7301856,258.9636251,123.4253364,193.7385241,0.529266571,123.2899277,0.98,23.70144638,0.544646154,120.8169664,0.577628737,0.641902393
0,2476.503667,2221.843311,108.3242192,142.0246164,996.7346635,785.2208113,207.8183119,158.59562,6.150195559,30.81932648,47.56483561,58.89535205,151.4092053,112.3953577,37.47891382,44.26758614,237.9114513,200.2973406,151.9380021,134.9060327,43.11053876,27.56323818,67.12293119,194.3250747,263.0990041,242.9719184,0.882725914,124.9921846,0.705196242,33.33680613,0.5,90.67534395,0.665707538,0.90642853
0,2507.793389,1829.374104,132.5071675,66.6322316,552.2091424,611.1811512,487.0546216,204.9068844,18.97602095,19.34685422,126.2663559,74.90228904,172.9181108,167.7573558,35.11058465,50.49386429,184.4101382,238.4183727,161.423529,217.0409972,26.12278038,50.14091675,104.0721775,213.5680588,241.2413157,229.0951717,0.98,127.1815634,0.871993026,20.38733268,0.939055741,126.6848862,0.916399021,1
0,1544.195173,1876.494496,163.3179687,86.97130848,1076.194049,1186.961282,389.1840404,248.3027891,27.95475283,4.434101868,73.92869867,156.6612526,71.24032833,170.7042044,45.68406543,55.28343137,94.50691829,114.7377122,146.3362243,209.0858401,26.73817635,37.35552373,68.46164531,235.9376332,108.5574735,195.8746583,0.48,109.0474511,0.48,31.94770215,0.568203964,111.7423789,0.5,0.758410427
0,2172.955788,1307.335896,158.2427545,92.39134459,780.2991524,971.9954013,267.9141066,638.9373323,23.66100638,23.52159281,187.0231639,60.90160185,106.3114787,85.23883115,40.37883128,38.29112334,115.1819596,119.7960635,150.4986384,106.7166988,52.13199006,39.68204765,180.6693748,151.5828269,205.9815534,264.3096148,0.920377477,119.7019791,0.75275929,28.89338009,0.59179676,126.471063,0.73552505,1
0,2596.450992,1971.788809,72.62851284,111.5632614,1344.475311,796.7237475,155.0048601,227.6734704,4.356034367,5.554076565,153.0702497,130.5127968,128.9685346,153.3657171,36.11670046,37.8475888,207.3435481,234.9360935,128.0468451,108.2922723,49.34053444,43.87386834,155.8363962,103.4567747,200.7121418,258.5809098,0.557492101,112.3496429,0.98,31.39420288,0.661260052,114.2819333,0.663318657,0.667774754
0,2095.226364,2586.058913,85.26403825,135.4552385,1321.309041,349.3938168,501.897772,477.3901278,34.55893355,40.50823801,195.9762429,142.0915307,105.4020704,91.96702036,45.2525339,55.05133818,155.3099726,224.2492585,97.23044496,230.4660859,38.35220515,47.95329002,167.440234,204.0040369,232.6034138,188.0307562,0.977910314,88.80949197,0.98,26.2050617,1,103.5552655,0.577082253,1
0,2373.340764,1265.913584,70.66875733,170.3478859,1108.559651,796.6214188,622.7548155,648.6238372,39.34426652,27.38291717,77.54601035,188.0955945,124.6951204,115.4549764,33.06946874,50.69159734,152.6110168,195.5776853,207.225633,131.3345153,41.77596326,32.9327415,117.8558408,193.2598402,249.475255,134.3160858,0.865977894,120.3650256,0.978637229,31.72872642,0.874698157,88.34831562,1,1
1,1816.919159,2430.548397,115.8113459,45.2702306,273.5738125,1169.300706,353.9244521,467.0060129,28.16126854,29.39811181,102.4271562,94.21830523,126.5402978,93.64042199,55.11983373,37.26263582,199.8156433,64.45309514,152.9451096,113.6017344,38.74214856,30.42616139,224.7734478,208.7035346,225.6896216,162.2523069,0.61520459,81.59756503,0.726356694,29.90740454,1,124.9419465,0.875803195,0.5
0.44,2424.104062,2426.184795,112.0785134,36.08938786,1195.070666,1030.490183,474.9864007,479.5688697,29.60507737,29.42948413,127.2506267,85.71340323,107.3661324,161.01417,40.82647963,40.61756152,268.1976299,279.2542681,148.2662326,138.2333155,33.81055659,29.07998014,202.0364233,131.3302837,113.7838792,84.24735016,0.823432651,137.896557,0.98,35.18364061,1,136.4259535,0.839474981,0.764389439
0,2087.326993,2154.374118,57.85523049,149.4670208,512.4360948,1263.478282,585.2920991,264.7654806,0.998560028,29.66126272,65.82650537,166.6518546,101.5391995,192.8458686,35.57255014,35.06797988,186.185002,104.5707697,178.8376747,98.195479,36.06517163,46.0428181,137.1593227,172.0316492,135.3326759,159.5934711,0.48,117.285602,0.788485236,20.87951089,1,129.9693504,0.771014386,0.5
1,2341.313776,1557.956061,162.5368214,81.42927995,626.822717,1143.537616,381.7239381,231.985774,1.229026514,21.35253643,176.9359109,115.4556839,72.3330492,91.91326065,52.84395725,42.33856567,115.0340105,299.9584696,180.092938,152.4879498,28.11681527,34.44137293,254.1142966,133.2943922,83.44967872,84.53838168,0.808164996,121.2581155,0.98,21.41355112,1,122.0365548,0.916148596,0.55027867
0,1409.648209,1382.078526,117.8693935,117.6002372,795.6438514,769.4357674,536.8253431,172.8564771,10.4082255,29.94288448,62.52249645,157.2998744,157.6551824,150.7766587,54.5007023,40.63930726,245.5088859,115.66077,229.1122832,229.7842559,28.88292088,37.62994653,236.2833848,140.5721075,142.7192394,195.8747154,0.567540935,92.59085043,0.677970316,33.78965034,0.57194981,77.83324669,0.569836509,0.983886684
0,2408.482155,2109.99534,63.29813911,158.0221686,1446.334402,1523.267469,415.5709971,429.4889288,19.93917323,6.664746422,192.0018493,166.0977803,106.4109858,205.2679685,37.88101761,59.53744596,131.0681472,296.571856,169.3500153,235.6886337,33.20230529,49.46115048,88.63974435,68.52315919,250.9694385,127.2589025,0.558063694,102.0036223,0.934540409,22.00138267,0.5,76.99643019,0.733906414,0.68253558
0,2411.921659,1717.011511,65.19230506,67.69080689,635.1961078,979.0953785,501.5888279,451.6775021,45.31076836,17.51498448,96.67918272,165.807402,110.447952,162.2612889,50.33514091,37.98257665,198.2307338,271.8629675,129.8417938,214.4374177,39.22305894,44.65765048,215.3335068,173.9604903,221.89636,189.0028342,0.526179596,87.45421155,0.98,23.21570233,0.725506907,99.08755934,0.554793226,0.601555755
0,2349.550845,1591.446453,136.7830421,92.74458137,1199.574389,439.9843273,522.5741469,332.2001017,31.06562507,42.12361844,113.4964303,152.6495375,138.8600386,88.6523517,48.21102191,40.15698736,264.2601473,211.1108895,192.608493,193.0833675,52.73630503,36.27444045,86.80557984,232.0119693,103.3966431,173.8907933,0.98,124.4891283,0.684621033,25.61022768,0.811172088,113.9875555,1,0.796838827
0,1563.98329,1613.723619,56.85100744,117.3985454,593.1065768,1562.160268,607.9716053,578.8972374,14.60947547,41.38863714,85.73732474,184.1352392,109.1547047,119.9096731,56.82857875,32.62767887,184.3569902,90.91849132,125.0835349,135.9967802,25.80826912,39.16450673,144.5442202,109.153856,190.2195214,164.9158903,0.77325798,116.8279229,0.533337639,24.00857969,1,74.56402774,0.588812001,0.787788303
0,2534.628488,2328.731145,118.6080889,53.60362551,751.9179589,835.2936373,433.361422,576.4640854,11.52376245,27.64021389,120.049091,191.1268134,90.29853891,108.700597,48.3190458,39.46396136,222.670006,76.36695089,210.6520397,140.1566652,44.40113469,53.79232601,191.5089722,174.5158184,101.3737276,170.416225,0.672443676,89.65089374,0.48,30.20383796,0.95240965,70.86994853,0.5,0.659180547
0,1354.65083,1961.684883,39.28420317,118.3941343,307.6394999,276.3146802,439.2144755,268.1565744,12.60343682,4.364678086,166.5066932,89.95362347,134.9246507,212.6285959,45.41080289,36.96208036,165.2797266,79.26442211,245.550968,181.8590366,45.47547251,33.07116967,138.5961092,111.5831788,191.0844199,204.0449803,0.917611836,95.2425376,0.576819572,31.89324449,0.524621054,101.4041575,0.863810387,0.5
0,2056.252658,1717.988152,35.66239651,144.9970741,278.5280604,494.1434164,647.7788559,410.8306677,7.336121016,49.68310612,129.6031197,190.6531517,202.7474757,135.4176302,44.40280428,55.74753069,156.5999394,170.8871496,239.3801061,205.7917392,44.32026806,29.70893855,145.7805734,159.1188572,243.4023572,152.2415356,0.98,96.56745614,0.952676274,20.5422236,0.595644588,130.6218632,0.5,0.5
0,2546.058229,1310.113282,39.18415374,57.26039373,320.622896,517.7134094,270.9204445,410.2927241,31.80970468,17.80573798,150.2518181,48.68379946,74.57861473,143.8205235,54.43525091,38.94398142,225.6593906,183.0787457,153.5873305,188.0582226,31.76741376,51.79029077,118.0293461,112.9213725,153.098213,97.43251673,0.98,125.0712288,0.737685441,22.50313193,0.953529462,126.8597012,0.936828705,0.642280627
0,1616.838295,1318.051839,43.86784958,47.49670744,943.5464937,973.0125261,476.6563176,543.9773567,26.58658171,40.55197891,96.63195598,71.00654408,173.2210554,206.546487,47.04949844,58.67337937,122.1344622,182.412156,104.2584562,149.316608,46.65060121,38.8296142,197.7858119,143.8640849,265.1119166,167.7162655,0.98,131.6536027,0.485453422,29.81173914,0.988398571,99.49536845,0.772758768,1
0,1441.431558,2622.626461,146.5763133,140.9330335,1267.774423,1155.423404,389.1487058,275.1265051,33.47361244,49.51449684,137.1399217,55.04170965,110.0527058,137.3027808,32.03783015,44.56026722,107.5866461,266.45612,157.7026734,107.5660553,31.41626947,43.70524598,250.4799577,132.4037407,194.9081226,233.2528497,0.481620524,133.5304465,0.938285562,20.42589192,0.984701292,77.72258026,1,0.583499468
1,1978.89951,1618.589794,124.130623,77.35978687,407.1788076,255.9148763,577.237455,447.900375,33.20357459,2.747250733,117.6889168,108.6533117,183.2785121,71,38.17571982,38.63009767,216.841127,163.6757655,233.8545234,177.3537776,24,28.07060881,139.0331518,202.6232835,255.1407076,224.5667545,0.98,90.95228508,0.820554364,22.05193206,0.732156207,107.6134972,0.840949839,0.598046877
0,1284.332032,2466.276209,95.21963037,54.9081026,1024.820162,1203.967228,558.6050549,566.1242042,11.43081683,16.04175399,66.05417312,174.4185004,111.6771264,91.36275352,56.85829921,42.70431033,242.7602761,110.0680205,127.6308311,227.1205341,53.10228895,38.02550738,137.4702165,167.9760295,176.8574905,263.8082099,0.98,94.02038434,0.98,23.69186006,0.5,72.71843466,0.5,1
0,2624.547475,1307.292539,30.27102797,141.9240633,1560.296923,801.7740407,630.1755531,596.6280307,19.09247619,43.64221564,122.7251475,59.83142863,201.7974295,140.1134185,57.16526878,38.13564292,157.6516604,298.3733145,164.3567907,146.3800857,50.54544793,30.26670726,154.5403282,165.007024,76.03146693,148.8051263,0.872877616,109.2970654,0.595179616,33.83480461,0.549665082,91.51218412,0.713104408,0.791285473
0,2146.745013,2071.649359,95.89084434,72.76367296,1494.239617,464.2341799,358.4061001,283.8775825,9.426886976,48.04628472,101.7989006,118.1643868,165.3004456,100.1481055,51.74099903,53.01865482,167.5255014,187.0924268,129.7727293,200.7369094,33.69416712,47.54220911,138.1225461,129.9772345,265.0352662,74.22777795,0.98,88.28486396,0.874496927,34.10789482,0.625561397,131.3051251,0.884902041,0.622920532
0,1744.695203,1790.589831,28.1201627,57.19775792,1100.372739,1329.944464,384.7459369,230.4227805,17.24147402,36.65357882,66.1455525,60.30691073,112.7757789,179.3935187,47.43710918,50.15374337,97.68997168,214.5411601,156.8993167,151.566311,52.4878008,32.20926064,112.761566,182.9032288,232.6089384,115.0027503,0.98,83.99904858,0.888403604,25.80938553,1,132.3651633,0.54605176,0.796719465
0,2207.934524,2213.305782,121.620126,79.04059416,1507.134609,1092.432515,211.0289572,428.9341001,24.91322859,35.95746317,142.3311335,168.7633911,107.3538741,138.4493751,50.75698466,47.28401933,170.2440267,280.1147494,144.9918936,241.2141194,33.86890822,29.91930916,215.1019872,157.4967187,208.8831498,168.5459535,0.72209838,119.9484398,0.634316278,30.81335071,0.554806794,84.88870313,0.591965903,0.511215722
0,1686.385165,1835.075223,39.1398189,103.0887352,920.6306751,469.9742995,280.6978702,238.1018595,15.71973931,3.510436558,188.7473973,191.7665652,125.2345551,151.5618666,39.16745953,31.43475615,62.81698668,225.1360277,228.3531326,213.6373837,45.3353578,43.03253656,95.2337646,72.81697295,189.958589,185.2827518,0.48,119.748304,0.682860459,20.56249924,1,121.5020117,0.572911786,0.979081181
0,1470.118284,2552.010072,112.7074431,97.31851668,659.1228227,1373.12634,536.7897615,514.8151159,44.01209998,9.061894656,109.7407867,181.5965787,133.8113821,122.0334048,52.92784438,46.81104348,294.5410353,201.5931178,147.7391084,137.7367894,42.39402205,35.80843222,114.0441117,132.0339064,134.1879911,207.0153299,0.48,94.36404358,0.539140241,28.38241528,0.814311768,139.4043779,1,1
0,2312.81123,2557.040239,40.10699419,29.63677439,714.7532316,756.5789662,264.5092417,622.4564173,47.26109862,34.39293035,152.0675754,157.4267557,94.4058007,146.7203478,49.88144242,48.30632578,251.1748574,77.13522862,243.5500791,245.5591675,37.72936239,27.45679274,123.9490595,83.81224893,171.739152,152.5121952,0.48,91.64490505,0.68512781,27.3088792,0.933347745,123.479653,1,0.5
0.62,2363.690156,2536.357126,78.39564938,49.41680054,1451.297872,1511.444224,233.2197927,303.4093518,13.4914836,37.7593687,88.76561015,66.70698532,213.1044643,125.9127437,31.07953073,42.92744594,238.7261484,166.9008826,193.9005536,207.2190016,42.86166295,41.26243011,118.8002905,254.018513,212.4668026,106.7002076,0.98,86.34953934,0.98,26.38589567,0.68897205,97.59257562,0.685997085,0.589990641
0,1589.402182,1749.214441,95.15230813,66.62207823,1506.469015,803.6501913,241.2096472,193.2019487,12.88791399,1.639394235,157.4078003,108.1158189,163.124835,72.6299622,48.26145947,50.434637,263.972325,223.2870689,145.3288714,149.1621862,51.26400122,25.46573412,108.6214081,170.6539004,210.8545567,127.0611696,0.866449794,113.8911933,0.696226408,19.50773293,0.5,124.0704677,0.988039526,0.685521324
0,1732.686456,2690.139276,165.663144,100.2550849,141.8697229,1217.565698,591.1781403,478.3263856,49.54071891,36.5093601,174.588793,119.8124004,123.3634017,157.1137283,43.8039256,49.07359584,83.30502032,206.247501,142.2519249,118.102506,40.40355751,53.24440396,242.9346676,233.5470085,110.5826232,198.4593103,0.962823073,131.3192886,0.48,29.28256536,0.5,88.40877395,0.940423123,0.551693329
0,1435.836178,1656.109958,34.97018478,133.1315394,329.9694398,757.5146022,579.7056888,362.3585836,36.41161169,11.45789825,46.61825932,92.64608572,100.1448634,96.31450052,30.18176766,37.83432479,249.2514361,129.8206563,188.615737,180.7797264,27.67395258,44.51753977,173.3451614,101.8598249,222.1280782,150.088255,0.48,94.97230584,0.946133371,28.49220933,0.706782953,95.01274735,0.5,0.855399651
0,2076.475816,1936.745532,150.2836198,172.2283948,845.1723314,1574.331031,413.993691,404.4199508,28.26155293,11.71696149,139.3322639,100.4779639,168.2324739,132.6342319,58.86547479,42.93995937,118.1739576,126.2753395,201.0808879,184.4596322,49.85982358,32.16991077,145.7402579,232.886765,134.9885334,264.790095,0.98,104.1948145,0.717786564,27.01068649,0.688225694,80.63964538,1,0.5
0,2182.400223,2431.061421,72.12882625,57.00755887,436.9676904,734.2473999,475.7046039,566.0770592,23.31570311,28.03338752,133.9768048,59.3262345,209.9389326,148.027946,37.79770774,46.15466095,170.1823328,97.69125785,235.518746,117.7528662,41.91413022,25.81940911,245.2422466,85.96462822,152.4839977,189.7454304,0.830150508,122.1638221,0.618509716,23.22813136,0.995242429,111.8469963,0.844435079,0.83534888
0.075,2164.336578,1298.833823,108.9802361,93.79238509,329.7106026,1574.066367,487.5457897,393.4003657,31.10668365,33.13616206,174.9087177,153.2160614,177.7030124,73.38830356,34.70865162,59.27974378,72.87897488,217.0468238,153.4104514,245.8554241,33.1754954,33.8121952,149.3446167,99.43700542,96.41510606,118.3711572,0.528074109,109.827601,0.48,22.80791465,1,111.7345187,0.539508945,1
0,2216.057551,1996.142906,92.30522495,138.4680418,901.9993236,1401.136681,625.8722448,268.0766488,36.87329062,41.52033262,98.83070888,89.3944456,133.8722997,79.00082707,39.06649298,48.0216615,140.3380554,121.5014636,198.3436663,138.0239023,30.06477032,47.03346389,73.8481649,181.9491214,262.1216209,149.0616765,0.905229618,109.3488606,0.776637877,33.2713322,0.774887166,136.3118114,0.859213483,0.8206359
0,1456.509054,1930.698555,45.31022094,107.7805433,738.8952429,1077.650829,394.678295,378.7270061,43.53756724,49.78347408,69.98084251,151.7861196,161.8583744,119.7192454,36.43858378,54.68894656,129.9257156,229.8960943,221.2467701,121.655475,37.93071554,29.99238952,140.0464599,85.47438231,75.3215254,214.9962605,0.48,121.9526874,0.586159514,21.0826688,1,68.7978403,0.904551884,0.976610693
0,2103.66602,1938.651855,145.6994325,65.69041775,906.0441363,798.0257893,164.3072739,192.8860819,44.81494883,18.85186545,190.4471205,168.546363,150.1168071,196.0555484,34.94748077,46.49869582,71.19310593,179.5254786,210.4105896,152.33554,28.05244677,54,152.3809723,224.4809802,178.0645697,242.5158866,0.98,135.0683424,0.837805074,33.47894293,0.920918488,67.25583692,1,0.5
0,2533.016796,1511.547878,149.8681168,52.53407922,1108.184457,1246.605179,634.4109454,320.9120459,18.58011552,27.93329441,64.97135161,48.40835166,101.8247201,165.4709968,57.32888933,37.01157326,67.05477832,108.9382731,225.3552224,180.3368159,42.40111502,24.42739042,186.1957194,83.41638222,132.8277807,99.85352403,0.829971355,86.90759588,0.98,24.49764766,0.738142197,121.470448,0.547081477,0.5
0,1616.180298,2699.324461,172.4729618,173.9594982,223.9163461,550.6393148,350.1998476,413.6208167,41.80898335,36.33515014,82.3917501,83.35145557,206.4233303,198.6877398,48.71846598,52.2103475,176.4205143,109.3401064,223.3378266,168.3027115,46.79772554,40.23484431,128.6869241,170.80988,170.1225451,140.5357417,0.941141412,100.4724348,0.752162333,35.92688475,0.932042022,138.7019494,0.5,1
0,1465.043937,2333.553382,167.872363,114.4415339,1045.806175,1063.012202,369.0723355,180.7882541,23.42290716,7.582728658,52.23889524,111.5897671,199.3094065,162.4649915,32.71697978,37.43756414,109.0228825,268.763383,223.315129,128.9554724,43.86137649,44.69522609,251.1868213,260.8791828,97.49689596,123.8089946,0.48,135.6771778,0.48,32.64937867,0.649568645,106.3572756,0.800639808,0.769005245
0,2233.863112,1365.235552,134.3464172,117.8401381,1333.936238,912.3916376,381.0574299,310.4433718,38.92884442,40.50613253,105.7050514,118.4677096,146.1505858,197.4971049,45.12725867,40.09631072,152.8016024,135.6983266,220.6241437,148.1864495,46.75163844,33.29108268,240.9942604,106.3420561,109.6366163,115.4200738,0.548835563,99.83752988,0.48,28.0310318,0.688288694,81.59921591,0.5,1
0,1796.871395,1383.459023,171.3694945,159.3665737,1181.621842,1482.13151,187.8828543,530.4524046,7.42568773,1.532744652,169.7158134,144.0196095,198.2779082,91.56623676,51.34170321,46.2029364,54.06076864,131.7196968,169.862619,117.8800618,24.81842669,45.61362004,102.7233507,74.27770024,187.9903958,73.1197,0.98,97.27312793,0.98,22.62673188,1,111.8900502,0.773864609,0.706264156
0,2290.958367,2580.150662,163.5718907,28.91397987,128.103049,850.3641683,200.983058,362.3878541,24.74222841,34.08945958,76.89927763,187.5611949,103.1599436,74.02479271,55.17675853,40.35173386,71.60612318,99.59225158,200.2117448,225.6577555,38.65254151,27.52862799,236.6405099,204.6095867,202.9671571,105.7078141,0.579146965,88.91515812,0.74142917,30.34526633,0.972969918,97.12583553,0.5,0.700867436
0,2362.037956,2172.52951,146.0430284,129.4170709,929.1221273,631.5354316,199.420326,426.7613708,44.15250493,13.56901507,111.4778465,113.6988525,109.3365144,215.6421905,49.88719713,41.05176817,288.5686302,105.118419,131.3465135,150.4762789,46.70610649,36.29692016,83.46519471,182.4095672,255.7563671,210.4453596,0.98,92.42948901,0.960157377,29.69586321,1,105.325805,0.67710363,1
0,1443.918586,2076.300159,118.1643853,173.0130452,540.6301152,477.7152978,599.6730387,395.8151577,12.02422842,35.01211347,88.25264798,144.9481725,188.0878043,100.6347306,50.00679523,44.52190021,163.7106641,258.5379704,155.1662429,215.6115007,52.06116662,40.27876517,193.2595505,262.554091,97.5536211,112.3427376,0.821235267,80.93810091,0.704779485,27.60719639,0.884248278,71.98432536,0.677020685,0.553435064
0,1721.583385,2346.633609,158.9404196,42.1931655,246.5844035,1232.757239,333.3029875,269.9243613,10.90838431,24.70060253,60.71204793,48.09702444,178.0204336,210.9416138,53.1758566,30.88980739,201.7942374,125.8092675,166.4234966,200.5873857,36.59591376,37.1991613,182.8202384,73.63467762,140.8154797,142.341624,0.98,113.5599911,0.765644143,34.44584393,0.959073601,124.8357437,0.833752743,1
0,1347.711244,1954.455763,101.7733768,146.8200878,1521.080696,1365.480261,457.2943529,464.1926196,43.51977537,0.120655006,144.9986421,61.40465072,109.12416,213.6123261,47.44979697,34.85078944,121.8295846,207.1155699,163.905188,197.4149631,46.4896223,44.78726793,219.9072383,128.3831232,212.0934327,129.7184617,0.855765999,83.95076937,0.790839636,31.6587964,0.669726059,103.6497614,1,0.651549326
0,1816.307671,2644.36837,29.97326269,140.4974619,254.6360578,1051.989716,280.9082774,624.8947432,37.75916453,36.51313887,46.04742544,116.5948314,71.85454279,172.5483709,50.54514711,54.84646354,246.5003813,96.09138502,155.728269,152.2568305,34.71479438,36.30056281,195.4862421,110.3231875,232.8530427,183.9425981,0.98,77.2429918,0.676435547,29.10171529,1,81.40442363,0.730704623,0.915802684
0,2233.459408,2339.502246,117.7083738,45.86927948,259.0509629,629.5691719,229.6958364,604.399453,23.96527041,20.96479601,107.9759931,154.7144039,194.2513661,96.61767055,48.69941832,42.35367817,272.5638458,264.3604736,206.5136926,211.4634061,24,41.3947072,222.2459067,178.4517368,152.3039896,217.7518101,0.668407855,76.04507384,0.481205928,32.84681707,1,84.36331306,0.5,0.820211895
1,2661.510698,2387.192685,109.854612,46.35610472,493.8634262,652.4157141,569.2786342,436.9104768,13.65057575,3.349957863,133.0582048,86.30574818,157.0576283,97.11206581,57.95144044,52.10993903,211.2806318,52.63518874,142.7981558,206.9016454,40.39283933,33.77859657,197.3094615,254.7471773,239.4492208,177.7584249,0.836928544,88.40023144,0.48,30.51337816,0.533866058,101.6923625,0.729993935,0.684801402
0,2017.40094,2270.14009,39.26067727,155.6175921,855.0529384,705.8225465,501.2189195,235.085949,42.66814489,3.658079704,125.7651656,54.45803144,97.48359725,167.0841399,51.6966759,51.01440951,65.21350505,224.438421,165.4122721,150.9651294,30.18697072,44.45740846,158.8922433,84.31821859,177.1432355,104.5510082,0.593794732,89.70389022,0.721451249,27.86257591,0.652990753,82.77361885,0.5,0.823096787
0,1755.049364,2612.159651,176.0643321,141.2702252,459.4578406,937.3970719,457.1443473,297.2982508,3.366026785,9.241666444,87.015251,189.8657953,210.0371896,203.87378,30.44194533,33.19916615,83.37068833,246.0847666,242.5391431,123.6392323,38.0914274,38.29146818,211.8657254,114.2344148,234.5424646,144.9153449,0.98,98.18698228,0.98,23.87300825,1,78.59720444,0.513881613,1
0,1835.825544,2067.715397,45.52617906,66.02467742,835.570468,1179.930934,162.4946301,268.8720825,45.4516212,44.15718467,183.4245598,160.5917137,138.9827581,154.6230704,39.21545437,30.58383947,190.1938582,117.8612517,237.5057703,239.1005506,30.18179347,26.49420494,145.2771943,233.0987141,166.4737481,225.7958028,0.48,102.4720278,0.850115509,22.74393824,0.903747096,138.0500868,0.818591724,0.737154735
0,2431.714417,2426.133898,170.4114984,134.5809264,779.2090216,1386.937824,486.6392089,169.9093291,20.11077201,29.64962973,189.9446115,104.6506871,190.8170372,196.676909,40.84599284,31.52144117,152.6600258,216.9895434,133.7473783,232.4883493,30.24187479,24.96075688,122.8080938,219.3264464,120.5632139,221.6319189,0.774159812,93.40211978,0.592409709,24.35907006,0.5,86.29398906,1,0.701811581
0,1641.757111,2353.300964,159.7214521,162.8474744,410.4008549,237.4326895,476.2685989,337.8533394,48.50477105,25.53200674,146.6550966,62.33787377,107.674729,182.7493361,47.06338998,43.94371894,227.9600809,128.3652563,185.3348944,138.6126385,44.91226985,38.4664396,164.5388475,124.7898891,241.0490563,70.33481278,0.977573933,76.9858948,0.97354163,30.40480758,0.868592498,102.0949387,0.5,0.5
0,1648.122087,1404.384319,125.1071827,130.9162882,999.7927548,1570.393655,247.5323685,550.0864041,25.73667507,5.929834359,119.2126899,101.4845407,143.0678509,128.1722051,46.6493597,51.66911295,76.32622719,135.9724813,124.6025044,238.2707079,27.37409955,41.80205295,79.20654168,125.3601118,112.2504744,228.1769181,0.949146064,112.0496253,0.909111867,19.86138767,0.622169011,112.9601867,0.753770939,0.738978722
1,2492.013685,2466.49694,91.08793398,58.13045099,1032.144774,258.7485953,565.5457727,247.0190727,5.501219605,31.80077582,192.4760559,46.02637665,183.0876403,126.5010445,51.31005868,46.06782448,100.6117794,83.79161967,240.650725,195.0912195,28.5176027,28.24873413,134.1453751,75.72828513,151.0416261,107.1414653,0.48,84.8458268,0.529794926,28.42351455,0.511039484,88.99421389,0.694563501,1
0,1535.211133,1355.666739,52.7613718,148.3333847,1414.770022,1106.445969,297.6892153,550.8559884,44.17352348,1.030199458,78.33250542,116.8052912,165.5749514,157.7639221,58.33212823,38.49620514,89.26870335,265.5258224,130.3012392,137.3560098,30.31831242,43.5817849,213.2931609,196.5105842,137.3495689,177.6143479,0.779690957,131.2731074,0.883904312,30.47558321,0.996715716,103.8125683,0.577275612,0.725194044
