[mean success],blue_jet_speed,red_jet_speed,blue_jet_sensor_range,red_jet_sensor_range,blue_AEW&C_speed,red_AEW&C_speed,blue_AEW&C_sensor_range,red_AEW&C_sensor_range,blue_GBAD_speed,red_GBAD_speed,blue_GBAD_sensor_range,red_GBAD_sensor_range,blue_GBAD_weapon_range,red_GBAD_weapon_range,blue_AWD_speed,red_AWD_speed,blue_AWD_sensor_range,red_AWD_sensor_range,blue_AWD_weapon_range,red_AWD_weapon_range,blue_subs_speed,red_subs_speed,blue_subs_sensor_range,red_subs_sensor_range,blue_subs_weapons_range,red_subs_weapons_range,AIM120-PK,AIM120-Range,AIM9-PK,AIM9-Range,AGM88-PK,AGM88-Range,AWD-PK,GBAD-PK
0,1571.983025,1695.051582,44.75484919,30.99628274,1498.430811,892.6240263,565.4434818,306.7820211,19.05636377,41.48173326,168.2485283,154.9496589,106.2832799,198.3016831,34.13412731,58.14812928,193.6183443,120.0888165,118.9747739,100.995761,47.12582246,24.93751921,161.1463113,262.8681354,267.4208727,147.5196995,0.622739618,115.6614494,0.910556388,24.90253263,0.613822574,89.31941247,0.613578979,0.565047878
0,1834.158684,2437.188154,174.0686734,132.2756259,364.299184,210.816454,450.5008127,465.9974395,17.29968891,23.33527612,185.2106301,154.3733678,78.4282573,149.0145477,45.54429302,59.41394348,189.6686123,265.223597,219.8716526,176.1413784,50.14637404,26.982771,207.0570899,66.48021134,234.2892907,254.8246374,0.946518738,82.13587723,0.765216481,30.4304658,0.715951839,91.6120036,0.822251675,0.598654332
0,2533.768792,1338.765286,116.0647021,133.0836538,675.3625144,298.3766894,480.8332206,223.9425911,27.695057,6.972581789,140.6146824,174.2622489,159.1125472,157.8945377,47.33396929,48.13892019,281.2418608,214.2203958,96.03505721,166.0096549,36.15765284,48.52982007,201.0218105,137.4832891,109.6453901,226.2625846,0.912325892,120.4714494,0.674331601,21.17712883,1,72.80508016,1,0.539393122
0,1473.012366,1811.862811,125.3004196,88.08641081,415.6968606,684.8842793,560.8685994,237.1136893,23.43198938,8.261077349,188.5437368,106.3362797,95.30493272,205.6379947,58.33798634,52.71410248,276.5848786,263.7739373,184.3371529,119.7491871,50.71777104,50.0248163,114.6922607,253.782695,200.844168,220.4582539,0.485049873,110.4228635,0.48,24.90690771,0.812403372,82.69502391,0.584992095,0.824288813
0,1595.413355,2055.211533,69.44057419,171.1283463,411.9281955,1353.95276,270.5538098,175.4517636,16.48018091,7.145918726,60.48316025,168.2301185,111.8159012,131.5963454,41.40241122,45.9239932,287.8236148,276.1096972,194.0780541,211.2020279,36.47367561,53.56189736,218.676688,94.34317795,80.32072387,239.6664227,0.48,121.7972357,0.678688434,31.27372543,1,140.9108241,0.858962863,0.5
0.97,2059.258239,1503.976811,69.82572754,46.923229,303.7746731,1165.66354,460.284318,191.4514714,40.30907124,33.09939107,99.57728229,95.55024937,130.3775768,161.5324405,44.0243395,49.31719203,91.52784486,89.87007158,180.0910064,205.5126999,47.16515609,44.82733873,122.4953269,181.1358747,115.6837527,134.1839739,0.48,82.94715259,0.862239555,32.94803338,1,116.8511156,0.515001571,0.917472806
0,1900.410116,1265.365655,78.30225417,94.79162313,334.4147691,490.7882726,331.2402031,229.3948845,37.68946863,28.53144273,101.91107,114.6113832,89.2012041,212.2613985,47.35701728,34.74902779,188.1634503,114.5329455,137.373683,158.6187758,40.89440349,29.30712134,258.1564511,83.59257594,153.3307694,132.769005,0.936323225,92.63983393,0.98,33.73111528,0.976632109,125.6925026,0.963592802,0.5
0,2603.910169,1627.944603,142.9810948,39.21218893,1397.694707,1482.999024,285.8904238,376.3433985,43.31359016,38.74375102,72.70188118,179.3637605,146.5070845,218.7668123,53.63998259,52.52107212,226.8038243,179.7151386,202.0275403,242.189013,46.41325976,38.96082656,253.1989468,213.0144852,145.0228213,220.6118256,0.48,84.8668604,0.48,24.17623585,0.5,88.40149763,0.5,0.581835617
0.025,1821.982627,2022.237856,34.9143231,28.29048296,1232.593645,1466.147908,153.2623919,482.9943222,36.63024995,29.88973985,75.32798774,150.7112434,103.5485493,109.7219653,35.43144744,34.41970712,239.9653327,101.3458991,136.5118164,229.9831121,35.42816073,44.16253867,171.3747225,264.9331713,194.9041932,239.6101662,0.824158824,100.4616409,0.48,23.88857967,0.997512032,117.4323529,0.5,0.705366324
0,2118.027157,1292.766068,151.2872246,140.2563842,537.1849056,244.7342027,285.5400554,523.8975343,4.078151789,42.30909981,124.8773074,182.0871005,128.5472236,185.2366154,43.97631096,54.94196646,225.3578407,208.1397826,222.0166123,147.1968347,29.83591645,50.14008185,216.2447546,170.1770789,74.51785769,107.0269013,0.98,118.9237423,0.823353893,29.64168735,0.5,124.1664419,0.88326628,1
